అక్క, elder sister
చెక్క, wood piece
పక్క, side
మొక్క, plant
నక్క, jackal
తక్కెడ, balance (weigh)
లక్క, lac
అగ్గి, fire
మగ్గం, loom
బగ్గు, dent
నగ్గు, to laugh softly/root
పచ్చ, green/raw
ముచ్చట, Nice
చచ్చు, to die – root
పుచ్చు, rotten
బుజ్జి, cute/small
అజ్జ, grandfather – dialect
మజ్జ, marrow root
మజ్జిక, butter milk
బట్ట, cloth
చుట్టు, roll/wrap
చుట్ట, cigar
పట్టు, hold/grip
మట్టి, soil/mud
కట్టు, tie/build
దట్టి, dense
గడ్డి, grass
బొడ్డు, navel
చిత్తము, mind
సత్త, strength/essence
నత్త, snail
అద్దం, mirror
బద్దకం, lazy
అబద్దం, lie
బద్దలు, broken
సిద్దం, ready
రుద్దు, to rub
రద్దు, to remove / abolish
అన్న, elder brother
పన్ను, tax/tooth
చిన్న, small
కన్ను, eye
నిన్న, yesterday
మన్ను, soil
వన్నె, color tone
అప్ప, father – dialect
అప్పగించు, hand over
చప్పట్లు, sound of clap
తప్పు, mistake
నిప్పు, fire
పప్పు, dal
అబ్బ, expression like “oh!”
డబ్బు, money
గబ్బు, smell/rot
బొబ్బ, burn/blister root
అమ్మ, mother
తమ్ముడు, younger brother
నమ్మకం, believe – root
బొమ్మ, idol/doll root
పిల్లి, child
చెల్లి, younger sister root
వెల్లుల్లి, garlic
మల్ల, wrestler root/name base
మల్లి, jasmine flower
మళ్ళి, again
తెల్ల, white
గుర్రు, sound/root
చిర్ర, anger sound
బర్రె, buffalo
అవ్వ, grandmother
నవ్వు, to laugh root
అయ్య, father/sir
దయ్యం, ghost
తల్లి, mother
క్రతు, ritual
క్రియ, action
క్రోధం, anger
క్రాంతి, revolution
క్రితం, before
గ్రామం, village
గ్రహం, planet
గ్రంథం, book/scripture
గ్రహణం, eclipse
గ్రామీణ, rural
త్రయం, three
త్రాణం, protection
త్రాసు, weighing scale
వాక్యం, sentence
త్రిపుర, name
ద్రవం, liquid
ద్రాక్ష, grapes
ద్రోహం, betrayal
ద్రవ్యము, wealth/substance
ద్రవణం, melting
ప్రభ, light
ప్రభు, lord
ప్రజ, people
ప్రాణం, life
ప్రేమ, love
ప్రకాశం, light
బ్రహ్మ, Brahma
బ్రతుకు, life
బ్రాహ్మణ, Brahmin
బ్రహ్మం, ultimate reality
ప్లవం, boat/float
ప్లాన్, plan – adapted
ప్లవంగ, monkey – poetic
బ్లాక్, block – adapted
బ్లేడు, blade
క్లేశం, trouble
క్లుప్తం, brief
క్లాసు, class
గ్లాని, fatigue/weakness
గ్లాసు, glass
ఫ్లూట్, flute
ఫ్లవర్, flower
ట్రాక్, track
ట్రైన్, train
ట్రస్ట్, trust
డ్రామా, drama
డ్రైవర్, driver
శక్తి, power
భక్తి, devotion
యుక్తి, logic
ముక్తి, liberation
సిద్ధం, ready/perfect
బుద్ధి, intelligence
కల్పం, era
స్వల్ప, small/root
ధర్మం, duty
కర్మం, action
అర్థం, meaning
పార్థ, Arjuna name
సార్థం, meaningful
గ్రంథం, book
ద్రవ్యము, wealth
గ్లాని, fatigue
శుద్ధం, pure
సంపూర్ణం, complete
అల్పం / స్వల్పం, less / few
సర్వం, everything
పర్వం, festival/phase
గర్వం, pride
శ్రద్ధ, attention/devotion
శ్రీ, auspiciousness
శ్రవణం, hearing
శ్రేయ, welfare
బ్రహ్మ, Brahma
తూర్పు, East
దీక్ష, initiation / preparation for a spiritual ceremony
బుద్ధి, intellect
హాస్యం, smile
