క్రతు, ritual
క్రియ, action
క్రోధం, anger
క్రాంతి, revolution
క్రితం, before
గ్రామం, village
గ్రహం, planet
గ్రంథం, book/scripture
గ్రహణం, eclipse
గ్రామీణ, rural
త్రయం, three
త్రాణం, protection
త్రాసు, weighing scale
వాక్యం, sentence
త్రిపుర, name
ద్రవం, liquid
ద్రాక్ష, grapes
ద్రోహం, betrayal
ద్రవ్యము, wealth/substance
ద్రవణం, melting
ప్రభ, light
ప్రభు, lord
ప్రజ, people
ప్రాణం, life
ప్రేమ, love
ప్రకాశం, light
బ్రహ్మ, Brahma
బ్రతుకు, life
బ్రాహ్మణ, Brahmin
బ్రహ్మం, ultimate reality
ప్లవం, boat/float
ప్లాన్, plan – adapted
ప్లవంగ, monkey – poetic
బ్లాక్, block – adapted
బ్లేడు, blade
క్లేశం, trouble
క్లుప్తం, brief
క్లాసు, class
గ్లాని, fatigue/weakness
గ్లాసు, glass
ఫ్లూట్, flute
ఫ్లవర్, flower
ట్రాక్, track
ట్రైన్, train
ట్రస్ట్, trust
డ్రామా, drama
డ్రైవర్, driver
శక్తి, power
భక్తి, devotion
యుక్తి, logic
ముక్తి, liberation
సిద్ధం, ready/perfect
బుద్ధి, intelligence
కల్పం, era
స్వల్ప, small/root
ధర్మం, duty
కర్మం, action
అర్థం, meaning
పార్థ, Arjuna name
సార్థం, meaningful
గ్రంథం, book
ద్రవ్యము, wealth
గ్లాని, fatigue
శుద్ధం, pure
సంపూర్ణం, complete
అల్పం / స్వల్పం, less / few
సర్వం, everything
పర్వం, festival/phase
గర్వం, pride
శ్రద్ధ, attention/devotion
శ్రీ, auspiciousness
శ్రవణం, hearing
శ్రేయ, welfare
బ్రహ్మ, Brahma
తూర్పు, East
దీక్ష, initiation / preparation for a spiritual ceremony
బుద్ధి, intellect
హాస్యం, smile
