అనగనగ, to say “once upon…”
అమర, immortal
అరగ, to digest / melt
ఆట, game
ఆడ, to play
ఆడ, girl
ఇది, this
ఈగ, fly
ఈల, whistle sound
ఉడగ, to boil
ఊట, meal
ఎదగ, to grow
ఎగరడం, to fly
ఏడగ, to cry
ఒదగ, to lean / bend
ఓట, vote/run
ఓడ, boat
కడగ, to wash
కనకం, Gold
కనగ, to see - root usage
కరగ, to melt
కలగ, to happen / occur
జలగ, leech
నడక, to walk
నరక, to cut / destroy
నలగ, to be crushed
పడగ, snake hood
పనన, Jack fruit
పరగ, to spread / fly
బరగ, to weigh down
బలగం, group/strength
మడత, to fold
మనగ, to request / plead
మరగ, to forget / boil
రగడ, to quarrel / rupture
లడగ, to fight - colloquial root
వన, forest – 3-letter valid word
శమం, peace
శరం, arrow
శనగ, chickpea
సరగ, to move smoothly / flow
హర, Shiva / remover
సంపద, wealth
తంపర, greed/root usage
అందం, beauty
చందం, beauty/meter
ఇందు, moon
చందం, meter/beauty
కంపనం, vibration
