కాకి, crow
కాని, but
కాపరి, shepherd
కాపు / కాచు, fruitful / protection
కారం, spice
కరి, spicy/black
కారు, car/vehicle
కాలు, leg
కావలి, guard
గాడు, man – suffix usage
గానము, song
కానీ, even if
గాయం, wound
గారము, pet / heat
గారి, respect suffix
గారె, food (gare)
గాలి, air / wind
చాకలి, washer man
చాకిరేవు, washing bank
చాప, mat
చామరము, fan
గూడాచారి, detective
చారు, rasam / Beauty
చలి, cold
చాలు, enough
జామ కాయ, guava fruit
జాము, time
జారి, to slip
అంతర్జాలము అంతర్ + జాలము, internet
జాలి, compassion/pity
డాలు, shield
తాడు, rope
తాత, grandfather
తాను, self
తాపం, heat
తాళి, marriage thread
తీగ, thread
తీరం, shore
తీరు, style/method
దానం, donation
దారి, path
దాసి, maid
దాసు, servant
దీనము, poor state
దీపం, lamp
దేవి, goddess
దేహం, body
నాకు / నాకొరకు, to me
నాటు, planting
నాడు, day/region
నామం, name
నాయకుడు,leader
నారి, woman
నాలుగు, four
పాకం, syrup
పాఠం, lesson/portion
పాడు, sing/spoil
పానీయం, drink
పాపం, sin/innocent
పాపి, sinner
పాము, snake
తీరము, shore
పాలు, milk
బాట, path
బాణం, arrow
బాబు, boy
బాలిక / బాలుడు, girl / boy
బాలి, Bali / offering
బాలు, name
బాహు, arm
మాట, word
మాత, mother
మానం, respect
మాయం, illusion
మారి / మారు, change
తోట మాలి, gardener
యానం, journey
రాక, arrival
రాగం, melody
రాణి, queen
రాయి, stone/inscription
రాము, Rama
లాభం, profit
లాలి, lullaby/ soothing song
లావు, fat
వాడు / వాని, he / his
వాన, rain
వారం, week
వారి, their/respect
వాలి, to bend
వాలు, tail/slope
శాంతి, peace
శాపం, curse
శారద, Saraswati name
శివ, Shiva
సాధువు, sage
సమం / సమానం, balance / equal
సారం, essence / juice
హరి, Vishnu
హాయి, comfort
హారం, necklace
అడుగ, to ask
ఊరు, village root usage
శాంతం, peaceful state
ఆనందం, joy/name root
